0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000606;;BTA 6,7% Avril 2028;7,60;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;2,01;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;2,72;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;2,81;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;1,00;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;4,51;;;;;;
;TN0008000606;;BTA 6,7% Avril 2028;1,00;;;;;;
;TN0008000705;;BTA 6,5% Juin 2025;11,03;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;0,02;;;;;;
;TN0008000739;;BTA 7,4% Fevrier 2030;0,01;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,30;;;;;;
;TN54R4G06T00;;ENDA TAMWEEL 2023-1 CA TF;0,80;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;7,28;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;10,08;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;10,03;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;2,01;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,50;;;;;;
;TNBII1MJCEF3;;EMP NAT 2023 T4 CB TF;1,00;;;;;;
