0;1;2;3;4;5;6;7;8;9;10
;;ISIN;;;;Libelle;;;Montant (MDT);
;TN0008000606;;BTA 6,7% Avril 2028;1,00;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;1,30;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,50;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,30;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;3,47;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,62;;;;;;
;TN0008000812;;BTA 7,5% 13/12/2028;0,57;;;;;;
;TN2781ZB9E10;;EMP NAT 2024 T1 CB TV;6,12;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;0,40;;;;;;
;TN9092FJVKK8;;EMP NAT 2024 T4 CB TF;1,00;;;;;;
;TNLRQIP0OJY4;;BTA 9% septembre 2029;12,12;;;;;;
;TNLRQIP0OJY4;;BTA 9% septembre 2029;7,07;;;;;;
;TNMCPXLL1EE2;;EMP NAT 2023 T4 CB TV;0,30;;;;;;
;TNPDPODY2398;;EMP NAT 2024 T3 CC TF;0,88;;;;;;
