ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNLRQIP0OJY4;BTA 9% septembre 2029;2.0;650.0;687.38;98.6
TN0008000663;BTA 7,5% 07/2032;5.0;2.0;428.0;4.0
TN4XFPRL1TH7;BTCT 26 semaines 19062025;0.0;0.0;0.0;0.0
TNF532WP2IO7;BTCT 52 semaines 10062025;0.0;0.0;0.0;0.0
TNHOS86FY952;BTCT 13 semaines 28052025;0.0;0.0;0.0;0.0
TNHX4EUHLOV7;BTCT 26 semaines 28052025;0.0;0.0;0.0;0.0
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;48979.0;5.0;10.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;48979.0;5.0;30.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29388.0;3.0;11.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19592.0;2.0;11.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;22531.0;2.3;11.0;8.5
