0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;3,01;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1,02;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;3,01;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;0,41;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;15,10;;;;;;
TN0008000762;BTA 8% Novembre 2030;0,81;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,71;;;;;;
TN0008000838;EMP NAT T1 2021 CB;2,00;;;;;;
TN0008000838;EMP NAT T1 2021 CB;3,00;;;;;;
TNAAGB5WL0L0;BH LEASING 2024-2;0,61;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;0,70;;;;;;
TNL8PGUB9C93;AMEN BANK SUB 2023-2 CA TV;1,62;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4,97;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,61;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,50;;;;;;
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;1,12;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,81;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8,02;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00;;;;;;
