ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000796;BTA 7,5% Janvier 2028;2650;3,0;358;8,64
TN0008000796;BTA 7,5% Janvier 2028;3798;4,3;358;8,64
TN0008000796;BTA 7,5% Janvier 2028;3533;4,0;358;8,69
TN0008000796;BTA 7,5% Janvier 2028;2385;2,7;358;8,67
TNX0K9990B08;EMP NAT 2024 T2 CB TF;15000;1,5;61;9,1
TN0008000796;BTA 7,5% Janvier 2028;2857;2,7;356;9,0
TN0008000796;BTA 7,5% Janvier 2028;6878;6,5;356;9,0
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23685;2,53;7;8,0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;57941;6,0;147;9,84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;193134;20,0;30;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;2000;0,2;35;9,0
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4300;0,43;35;9,0
TN0008000606;BTA 6,7% Avril 2028;112;0,119;57;7,5
TN0008000622;BTA 6,3% Mars 2026;284;0,3;29;7,5
TN0008000747;BTA 7,2% Mai 2027;950;1,0;90;9,84
TN0008000622;BTA 6,3% Mars 2026;568;0,6;30;7,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;67597;7,0;15;8,99
TN0008000580;BTA 6,3% Octobre 2026;344;0,35;90;7,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;41524;4,3;7;8,99
