0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000580;BTA 6,3% Octobre 2026;2,01;;;;;;
TN0008000622;BTA 6,3% Mars 2026;26,07;;;;;;
TN0008000622;BTA 6,3% Mars 2026;10,23;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;1,02;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;0,51;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,51;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,50;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,50;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,51;;;;;;
TN0008000705;BTA 6,5% Juin 2025;0,51;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;3,01;;;;;;
TN0008000739;BTA 7,4% Fevrier 2030;0,50;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,00;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,71;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;1,55;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,03;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7,53;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,61;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,00;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,20;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,82;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;7,05;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;5,03;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,50;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,24;;;;;;
