ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;30000.0;3.0;30.0;8.0
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;26928.0;2.8;30.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19234.0;2.0;21.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3847.0;0.4;14.0;8.5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;6300.0;0.63;10.0;8.6
TN0008000606;BTA 6,7% Avril 2028;1892.0;1.9;90.0;8.4
TN0008000663;BTA 7,5% Juillet 2032;2897.0;3.0;36.0;8.5
TN0008000838;EMP NAT T1 2021 CB;2750.0;0.275;20.0;9.5
TNPDPODY2398;EMP NAT 2024 T3 CC TF;76000.0;7.6;13.0;8.6
