0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;0,40;;;;;;
TN0008000622;BTA 6,3% Mars 2026;0,70;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,50;;;;;;
TN0008000655;BTA 6,6% Mars 2027;0,70;;;;;;
TN0008000655;BTA 6,6% Mars 2027;1,51;;;;;;
TN0008000762;BTA 8% Novembre 2030;1,39;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,41;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,41;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,51;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1,90;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10,03;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6,02;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,52;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9,03;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,81;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,51;;;;;;
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;2,55;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,01;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,51;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,21;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,70;;;;;;
