0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;1,54;;;;;;
TN0008000622;BTA 6,3% Mars 2026;5,41;;;;;;
TN0008000622;BTA 6,3% Mars 2026;5,41;;;;;;
TN0008000622;BTA 6,3% Mars 2026;10,09;;;;;;
TN0008000622;BTA 6,3% Mars 2026;1,01;;;;;;
TN0008000622;BTA 6,3% Mars 2026;0,50;;;;;;
TN0008000705;BTA 6,5% Juin 2025;14,32;;;;;;
TN0008000747;BTA 7,2% Mai 2027;2,00;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,00;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,02;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,55;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,25;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,28;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,51;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1,50;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4,81;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,76;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,91;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;11,44;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1,55;;;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;28,32;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;7,02;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,10;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,40;;;;;;
