ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;34724;33,9;32;8,62
TN0008000739;BTA 7,4% Fevrier 2030;4086;4,2;15;8,5
TN0008000606;BTA 6,7% Avril 2028;492;0,5;7;8,5
TN85TI1TIY25;EMP NAT 2024 T1 CC TV;149625;15,331;150;7,5
TN45VKDAPM79;EMP NAT 2024 T4 CB TV;10000;1,037;150;7,5
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;30000;3,132;150;7,5
TNRLFZ5FIX29;EMP NAT 2024 T1 CC TF;2882;0,303;70;7,5
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;15000;1,602;70;7,5
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;5000;0,51;70;7,5
TN0LAJZU8LX6;EMP NAT 2023 T3 CC TV;50000;5,347;70;7,5
TN0008000721;BTA 7,2% Fevrier 2027;1200;1,2;30;9,25
TNN0SOORH1F1;BTA 8,25% juin 2031;9780;9,238;70;7,5
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;10000;1,0;7;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;50000;5,0;11;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;50000;5,0;10;8,6
TN0008000663;BTA 7,5% Juillet 2032;2770;3,0;1;7,5
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18700;2,0;1;7,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;110692;11,3;15;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;97958;10,0;21;8,5
TN0008000812;BTA 7,5% 13/12/2028;372;0,4;30;7,75
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10000;1,0;28;9,25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;95999;9,8;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;73469;7,5;22;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3429;0,35;45;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6368;0,65;14;8,5
TN0008000762;BTA 8% Novembre 2030;10166;10,0;21;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;956;0,098;22;8,5
TN0008000762;BTA 8% Novembre 2030;9963;9,801;30;8,5
TN0008000812;BTA 7,5% 13/12/2028;1017;1,0;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;48979;5,0;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;48979;5,0;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29388;3,0;11;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19592;2,0;11;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;22531;2,3;11;8,5
