0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;0,50;;;;;;
TN0008000622;BTA 6,3% Mars 2026;5,63;;;;;;
TN0008000697;BTA 7% Juillet 2028;1,01;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1,09;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;6,49;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;6,38;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,50;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,00;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;1,01;;;;;;
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;6,52;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;0,76;;;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2,01;;;;;;
