0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;30,62;;;;;;
TN0008000762;BTA 8% Novembre 2030;3,02;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,30;;;;;;
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;0,81;;;;;;
TNAAGB5WL0L0;BH LEASING 2024-2;0,10;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,02;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10,05;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;1,50;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;5,82;;;;;;
TNN34MAL82X0;MICROCRED 2024-1  TF;2,02;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;2,04;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,55;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;5,01;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7,02;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;1,00;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,51;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,04;;;;;;
