ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000606;BTA 6,7% Avril 2028;6981;7,0;182;8,47
TN0008000622;BTA 6,3% Mars 2026;27025;26,66;120;8,52
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;9700;10,0;91;8,9
TN0008000812;BTA 7,5% 13/12/2028;618;0,65;8;8,25
TN0008000812;BTA 7,5% 13/12/2028;238;0,25;8;8,25
TN0008000812;BTA 7,5% 13/12/2028;266;0,28;8;8,25
TN0008000812;BTA 7,5% 13/12/2028;1900;2,0;4;8,25
TN0008000812;BTA 7,5% 13/12/2028;1900;2,0;8;8,25
TN0008000812;BTA 7,5% 13/12/2028;190;0,2;43;8,25
TN0008000812;BTA 7,5% 13/12/2028;420;0,403;120;8,49
TN0008000812;BTA 7,5% 13/12/2028;4940;5,2;30;8,25
TN0008000739;BTA 7,4% Fevrier 2030;536;0,545;182;8,1
TNPDPODY2398;EMP NAT 2024 T3 CC TF;89500;8,95;11;8,99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;11500;1,15;11;8,99
TN0008000812;BTA 7,5% 13/12/2028;1000;1,0;23;8,0
TN0008000622;BTA 6,3% Mars 2026;2027;2,0;120;8,5
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1257;1,299;95;7,75
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;243;0,25;84;7,91
TNMUZFAMCT05;BTCT 52 semaines 14102025;70000;67,332;10;8,0
TN3E0X2QE0C0;BTC 52 semaines 20052025;23123;23,0;10;8,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28911;3,0;57;9,84
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5783;0,6;7;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;62640;6,5;7;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3373;0,35;7;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9637;1,0;10;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48184;5,0;30;8,41
TN0008000770;BTA 7,3% Decembre 2027;1361;1,4;91;8,35
TN0008000770;BTA 7,3% Decembre 2027;1264;1,3;91;8,35
TN0008000770;BTA 7,3% Decembre 2027;661;0,68;91;8,35
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;15000;1,5;221;9,75
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;9000;0,9;30;9,75
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;10000;1,0;221;9,75
TNPDPODY2398;EMP NAT 2024 T3 CC TF;5500;0,55;30;9,75
