0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000622;BTA 6,3% Mars 2026;1,03;;;;;;
TN0008000622;BTA 6,3% Mars 2026;2,80;;;;;;
TN0008000622;BTA 6,3% Mars 2026;2,07;;;;;;
TN0008000762;BTA 8% Novembre 2030;0,30;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,90;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,57;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,62;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,49;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,63;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;4,31;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,20;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,51;;;;;;
TN0008000838;EMP NAT T1 2021 CB;3,00;;;;;;
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;2,00;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,82;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;1,35;;;;;;
TNVE955M6R90;EMP NAT 2023 T3 CB TF;0,60;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,37;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,50;;;;;;
