0;1;2;3;4;5;6;7;8;9
;;ISIN;;;Libelle;;;Montant (MDT);
;TN0008000580;BTA 6,3% Octobre 2026;15,42;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;13,33;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;5,54;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;1,22;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;9,07;;;;;;
;TN0008000606;BTA 6,7% Avril 2028;1,02;;;;;;
;TN0008000663;BTA 7,5% Juillet 2032;2,82;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;7,06;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;8,07;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;21,17;;;;;;
;TN0008000739;BTA 7,4% Fevrier 2030;10,10;;;;;;
;TN0008000747;BTA 7,2% Mai 2027;15,35;;;;;;
;TN0008000762;BTA 8% Novembre 2030;11,80;;;;;;
;TN0008000796;BTA 7,5% Janvier 2028;32,08;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0,92;;;;;;
;TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3,01;;;;;;
;TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;0,30;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3,01;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,30;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;0,47;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2,01;;;;;;
;TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1,50;;;;;;
;TNLRQIP0OJY4;BTA 9% septembre 2029;21,07;;;;;;
;TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;3,06;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,90;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7,12;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,51;;;;;;
;TNPDPODY2398;EMP NAT 2024 T3 CC TF;5,54;;;;;;
;TNPDPODY2398;EMP NAT 2024 T3 CC TF;6,55;;;;;;
;TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5,60;;;;;;
;TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7,73;;;;;;
;TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;0,88;;;;;;
;TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;1,03;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,52;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;10,23;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,02;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,51;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,92;;;;;;
;TNX0K9990B08;EMP NAT 2024 T2 CB TF;4,09;;;;;;
