0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000606;BTA 6,7% Avril 2028;5,51;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;8,53;;;;;;
TN0008000747;BTA 7,2% Mai 2027;16,23;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;2,18;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;4,36;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;16,43;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5,02;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2,81;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6,02;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;5,02;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;20,15;;;;;;
