0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000663;BTA 7,5% Juillet 2032;1,05;;;;;;
TN0008000663;BTA 7,5% Juillet 2032;0,41;;;;;;
TN0008000838;EMP NAT T1 2021 CB;5,36;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;7,16;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;2,05;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2,05;;;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5,01;;;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;1,05;;;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;1,50;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9,04;;;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0,39;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1,55;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,51;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,01;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,51;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,51;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7,03;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,60;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,30;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;0,50;;;;;;
