0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000655;BTA 6,6% Mars 2027;4,05;;;;;;
TN0008000655;BTA 6,6% Mars 2027;0,81;;;;;;
TN0008000747;BTA 7,2% Mai 2027;7,10;;;;;;
TN0008000747;BTA 7,2% Mai 2027;24,87;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;11,15;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,55;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,25;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,35;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;0,28;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;3,51;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;1,20;;;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;5,72;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,80;;;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0,50;;;;;;
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;5,03;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1,00;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8,18;;;;;;
