0;1;2;3;4;5;6;7;8
;ISIN;;;Libelle;;;Montant (MDT);
TN0008000655;BTA 6,6% Mars 2027;2,05;;;;;;
TN0008000655;BTA 6,6% Mars 2027;2,05;;;;;;
TN0008000655;BTA 6,6% Mars 2027;2,05;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;7,02;;;;;;
TN0008000721;BTA 7,2% Fevrier 2027;5,01;;;;;;
TN0008000747;BTA 7,2% Mai 2027;0,40;;;;;;
TN0008000762;BTA 8% Novembre 2030;2,52;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;4,21;;;;;;
TN0008000796;BTA 7,5% Janvier 2028;4,23;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;1,41;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;10,05;;;;;;
TN0008000812;BTA 7,5% 13/12/2028;2,00;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;0,90;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,75;;;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;0,45;;;;;;
TNAAGB5WL0L0;BH LEASING 2024-2;0,40;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;5,03;;;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;6,03;;;;;;
TNN34MAL82X0;MICROCRED 2024-1  TF;1,92;;;;;;
TNPDPODY2398;EMP NAT 2024 T3 CC TF;7,03;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2,71;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6,03;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10,05;;;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;21,16;;;;;;
TNZW31OFWNB5;MICROCRED 2024-1 TV;0,71;;;;;;
