ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNHOS86FY952;BTCT 13 semaines 28052025;0.0;0.0;0.0;0.0
TNHX4EUHLOV7;BTCT 26 semaines 28052025;0.0;0.0;0.0;0.0
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20000.0;2.0;20.0;8.0
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;15000.0;1.5;11.0;8.75
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;15500.0;1.55;11.0;8.75
TN0008000580;BTA 6,3% Octobre 2026;289.0;0.301;18.0;7.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;49294.0;5.0;11.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;94671.0;10.0;32.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9468.0;1.0;92.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8380.0;0.85;19.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9859.0;1.0;19.0;8.5
TN0008000762;BTA 8% Novembre 2030;2682.0;2.8;60.0;8.5
TN0008000739;BTA 7,4% Fevrier 2030;1564.0;1.6;29.0;7.75
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;10000.0;1.0;12.0;8.6
TN0008000838;EMP NAT T1 2021 CB;6000.0;0.6;20.0;8.6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;89000.0;8.9;20.0;8.6
TN0008000762;BTA 8% Novembre 2030;287.0;0.3;15.0;7.0
TN0008000606;BTA 6,7% Avril 2028;2971.0;3.0;29.0;8.2
TN0008000762;BTA 8% Novembre 2030;8622.0;9.0;90.0;8.3
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19718.0;2.0;341.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;47336.0;5.0;11.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;11338.0;1.15;5.0;8.5
